,state,type,decade growth
1,AK,On Premises,1488.6989829229722
3,AL,On Premises,6418.054538167043
5,AR,On Premises,1147.3165957767155
7,AZ,On Premises,234.49922969805107
9,CA,On Premises,553.3841217509629
11,CO,On Premises,262.53744442193766
13,CT,On Premises,1460.6550390584268
15,DC,On Premises,452.71829166863887
17,DE,On Premises,622.0158278188627
19,FL,On Premises,2482.2035682146625
21,GA,On Premises,1382.7357361599375
23,HI,On Premises,525.0661262798634
25,IA,On Premises,801.0859201497375
27,ID,On Premises,289.30666745443267
29,IL,On Premises,560.3810150182119
31,IN,On Premises,534.6031518118531
33,KS,On Premises,96.0285045533371
35,KY,On Premises,368.8017933911921
37,LA,On Premises,3798.687366784612
39,MA,On Premises,671.3288815225984
41,MD,On Premises,388.06495718436366
43,ME,On Premises,821.4099103961998
45,MI,On Premises,511.98864501138706
47,MN,On Premises,1030.0933198574292
49,MO,On Premises,130.2137445137601
51,MS,On Premises,
53,MT,On Premises,4534.627408355057
55,NC,On Premises,1428.744232233838
57,ND,On Premises,1476.1402372248706
59,NE,On Premises,557.5222230427044
61,NH,On Premises,1001.6014509021918
63,NJ,On Premises,1540.1617457244274
65,NM,On Premises,257.25589163007857
67,NV,On Premises,36.63285035408124
69,NY,On Premises,1119.1328285747127
71,OH,On Premises,1535.9379375460003
73,OK,On Premises,578.2665780662641
75,OR,On Premises,507.232320617982
77,PA,On Premises,333.0137470281954
79,RI,On Premises,2481.1402622539376
81,SC,On Premises,1535.267048303398
83,SD,On Premises,966.8170762201362
85,TN,On Premises,394.14210578545203
87,TX,On Premises,1929.0952447922703
89,UT,On Premises,203.73003622373395
91,VA,On Premises,1267.7193665097163
93,VT,On Premises,574.8535194059899
95,WA,On Premises,739.0579829406179
97,WI,On Premises,399.7825056819972
99,WV,On Premises,1263.9924422903148
101,WY,On Premises,483.55879584755644
103,total,On Premises,672.0336616182532
105,AK,Bottles and Cans,13.56372758753366
107,AL,Bottles and Cans,
109,AR,Bottles and Cans,731.4942033429185
111,AZ,Bottles and Cans,2964.3640405851993
113,CA,Bottles and Cans,-22.840025789177922
115,CO,Bottles and Cans,-28.24974716432277
117,CT,Bottles and Cans,5624.703654839717
119,DC,Bottles and Cans,966.1477961658202
121,DE,Bottles and Cans,290.54750091892396
123,FL,Bottles and Cans,8.570582176116474
125,GA,Bottles and Cans,-11.093730713652569
127,HI,Bottles and Cans,987.0206489675516
129,IA,Bottles and Cans,1427.420569654303
131,ID,Bottles and Cans,246.10020463789283
133,IL,Bottles and Cans,66.51083163956594
135,IN,Bottles and Cans,709.3371989189997
137,KS,Bottles and Cans,823.543391188251
139,KY,Bottles and Cans,87.8216322039469
141,LA,Bottles and Cans,56.01244123497586
143,MA,Bottles and Cans,346.16007003783966
145,MD,Bottles and Cans,529.8877815339854
147,ME,Bottles and Cans,-4.815194693630523
149,MI,Bottles and Cans,1029.4457361496586
151,MN,Bottles and Cans,523.5708420729426
153,MO,Bottles and Cans,-19.338615136094546
155,MS,Bottles and Cans,216.23750409701734
157,MT,Bottles and Cans,85.37480104028917
159,NC,Bottles and Cans,-85.38041272004459
161,ND,Bottles and Cans,
163,NE,Bottles and Cans,645.1438487635032
165,NH,Bottles and Cans,-18.295209617590658
167,NJ,Bottles and Cans,-62.00995760011446
169,NM,Bottles and Cans,1148.1781185358395
171,NV,Bottles and Cans,7313.488570818201
173,NY,Bottles and Cans,10.335480324364779
175,OH,Bottles and Cans,-10.206598421606511
177,OK,Bottles and Cans,-50.35425740739181
179,OR,Bottles and Cans,84.84321891628441
181,PA,Bottles and Cans,131.18239700074753
183,RI,Bottles and Cans,53990.33333333333
185,SC,Bottles and Cans,406.39639769245156
187,SD,Bottles and Cans,
189,TN,Bottles and Cans,904196.1003834566
191,TX,Bottles and Cans,-9.30349927115303
193,UT,Bottles and Cans,304.93998411558005
195,VA,Bottles and Cans,-8.902204211878423
197,VT,Bottles and Cans,-18.972279848288636
199,WA,Bottles and Cans,44.67960596151011
201,WI,Bottles and Cans,15.969350023268625
203,WV,Bottles and Cans,-98.89169790941038
205,WY,Bottles and Cans,776.8174125949662
207,total,Bottles and Cans,-10.986272724697526
209,AK,Kegs and Barrels,8.903787974748807
211,AL,Kegs and Barrels,5629.943431004894
213,AR,Kegs and Barrels,348.4532695989035
215,AZ,Kegs and Barrels,374.77036356553293
217,CA,Kegs and Barrels,-1.4177396580645312
219,CO,Kegs and Barrels,-38.7637893992012
221,CT,Kegs and Barrels,1099.231769785368
223,DC,Kegs and Barrels,
225,DE,Kegs and Barrels,135.10351171641776
227,FL,Kegs and Barrels,-0.954424466823732
229,GA,Kegs and Barrels,21.197294782852683
231,HI,Kegs and Barrels,166.81375782316238
233,IA,Kegs and Barrels,772.2436194676029
235,ID,Kegs and Barrels,129.35008145280597
237,IL,Kegs and Barrels,406.23994899045715
239,IN,Kegs and Barrels,342.07422070600273
241,KS,Kegs and Barrels,391.66984369043087
243,KY,Kegs and Barrels,449.8670134168686
245,LA,Kegs and Barrels,19.520482159577238
247,MA,Kegs and Barrels,80.41272799692236
249,MD,Kegs and Barrels,212.02660878618212
251,ME,Kegs and Barrels,136.89088604894087
253,MI,Kegs and Barrels,369.5702223206097
255,MN,Kegs and Barrels,134.81964121050214
257,MO,Kegs and Barrels,-51.41914828175834
259,MS,Kegs and Barrels,44.30372682273443
261,MT,Kegs and Barrels,7.966513030890651
263,NC,Kegs and Barrels,-63.9701980933989
265,ND,Kegs and Barrels,
267,NE,Kegs and Barrels,162.45225948142303
269,NH,Kegs and Barrels,-18.565427526548973
271,NJ,Kegs and Barrels,-33.56860150456292
273,NM,Kegs and Barrels,534.2720643701282
275,NV,Kegs and Barrels,1.5965215911600141
277,NY,Kegs and Barrels,-39.93526260023641
279,OH,Kegs and Barrels,-19.911567723192704
281,OK,Kegs and Barrels,19.345092448775496
283,OR,Kegs and Barrels,15.75334791366009
285,PA,Kegs and Barrels,6.478248479050203
287,RI,Kegs and Barrels,746.2871751171708
289,SC,Kegs and Barrels,130.71632349593375
291,SD,Kegs and Barrels,367.8251748251748
293,TN,Kegs and Barrels,244.8140857802036
295,TX,Kegs and Barrels,-3.46122237295697
297,UT,Kegs and Barrels,48.59777124097628
299,VA,Kegs and Barrels,-16.79595881375689
301,VT,Kegs and Barrels,-1.5890736214231982
303,WA,Kegs and Barrels,25.9119777968371
305,WI,Kegs and Barrels,-23.063984412446377
307,WV,Kegs and Barrels,142.72404292343387
309,WY,Kegs and Barrels,526.3547300574303
311,total,Kegs and Barrels,-13.91674789927036
